Currency,IN_BankTransfer,IN_CreditCard,IN_DebitCard,IN_OpenBanking,IN_ACH,OUT_BankTransfer,OUT_CreditCard,OUT_DebitCard,OUT_OpenBanking,OUT_ACH,CPO,MobileWallet,CCY,Balance,PeerToPeer
TWD,<3 days,<3 days,<3 days,<4days,N/A,<4days,<4days,<4days,>4days,N/A,5mins,5mins,Exotic CCY,Three Days,>4days
TZS,<3 days,5mins,<30mins,<6hrs,N/A,<4days,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
TZS,24hrs,5mins,<30mins,<6hrs,N/A,24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
UGX,<24hrs,<30mins,5mins,<6hrs,N/A,<48hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
UGX,<24hrs,<30mins,5mins,<6hrs,N/A,<48hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
UYU,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
UYU,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
VND,<6hrs,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
VND,<6hrs,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
WST,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
WST,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
XCD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,<48hrs,<4days
XOF,1-12 Hours,5mins,5mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
ZAR,<6hrs,5mins,5mins,<30mins,N/A,<48hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<1hr
ZWD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
ETB,1-12 Hours,5mins,5mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
ETB,1-12 Hours,5mins,5mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
SAR,1-12 Hours,<30mins,5mins,<1hr,N/A,Three Days,<1hr,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<1hr
SAR,1-12 Hours,<30mins,5mins,<1hr,N/A,Three Days,<1hr,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<1hr
XAF,Three Days,Three Days,<30mins,<30mins,N/A,Three Days,Three Days,<30mins,<1hr,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
XAF,24hrs,24hrs,<30mins,<30mins,N/A,24hrs,24hrs,<30mins,<1hr,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
ZMW,24hrs,<30mins,<30mins,1-12 Hours,N/A,24hrs,<30mins,<30mins,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<30mins
ZMW,48hrs,<30mins,<30mins,1-12 Hours,N/A,48hrs,<30mins,<30mins,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<30mins
NAD,<6hrs,<30mins,<30mins,<1hr,N/A,<6hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
NAD,<6hrs,<30mins,<30mins,<1hr,N/A,<6hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
XOF,1-12 Hours,5mins,5mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
ALL,Three Days,Three Days,Three Days,Three Days,N/A,Three Days,Three Days,Three Days,Three Days,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
KRW,24hrs,24hrs,<30mins,<1hr,N/A,24hrs,24hrs,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
KRW,Three Days,Three Days,<30mins,<1hr,N/A,Three Days,Three Days,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
BWP,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
BWP,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
